user_id,country,age,signup_date,subscription_type,subscription_status,months_inactive,inactive_3_months_flag,ad_interaction,ad_conversion_to_subscription,music_suggestion_rating_1_to_5,avg_listening_hours_per_week,favorite_genre,most_liked_feature,desired_future_feature,primary_device,playlists_created,avg_skips_per_day,signup_year,age_group,listening_segment
36,Italy,58,2018-06-10,Free,Active,1,0,No,No,5,4.22,Jazz,Radio,HiFi Audio,Mobile,12,13,2018,55+,Low (<5 hrs)
37,Italy,52,2018-11-14,Premium Individual,Active,0,0,Yes,No,3,17.59,Electronic,Radio,Concert Alerts,Mobile,13,12,2018,45-54,High (>15 hrs)
38,Germany,37,2021-07-09,Free,Active,1,0,No,No,3,13.59,Bollywood,Discover Weekly,Mood-based Auto Playlists,Desktop,7,13,2021,35-44,Medium (5-15 hrs)
39,France,47,2025-10-18,Free,Active,1,0,Yes,No,3,8.95,Country,Discover Weekly,Mood-based Auto Playlists,Smart Speaker,4,12,2025,45-54,Medium (5-15 hrs)
40,Indonesia,45,2024-07-03,Premium Duo,Active,0,0,No,No,3,19.26,Pop,Playlists,Mood-based Auto Playlists,Desktop,14,10,2024,45-54,High (>15 hrs)
41,India,21,2018-10-09,Premium Duo,Active,0,0,No,No,3,13.63,Classical,AI DJ,Better AI Recommendations,Mobile,6,9,2018,18-24,Medium (5-15 hrs)
42,USA,58,2021-01-10,Free,Active,2,0,Yes,No,5,14.33,R&B,Daily Mix,Mood-based Auto Playlists,Smart Speaker,8,10,2021,55+,Medium (5-15 hrs)
43,India,19,2018-09-24,Premium Individual,Active,0,0,No,No,4,15.54,Classical,Daily Mix,HiFi Audio,Tablet,15,13,2018,18-24,High (>15 hrs)
44,Canada,52,2025-11-13,Free,Active,0,0,Yes,No,5,9.82,Latin,Playlists,Lyrics Translation,Car System,12,9,2025,45-54,Medium (5-15 hrs)
45,France,44,2025-08-22,Premium Family,Active,2,0,No,No,3,5.46,Jazz,Radio,HiFi Audio,Tablet,9,10,2025,35-44,Medium (5-15 hrs)
46,Australia,58,2021-03-11,Premium Individual,Active,2,0,Yes,No,4,11.99,Latin,AI DJ,HiFi Audio,Car System,5,15,2021,55+,Medium (5-15 hrs)
47,USA,17,2021-11-22,Premium Duo,Active,2,0,No,No,3,4.54,Pop,Daily Mix,HiFi Audio,Car System,4,12,2021,<18,Low (<5 hrs)
48,USA,55,2023-03-07,Free,Active,2,0,Yes,No,5,13.35,Country,Offline Mode,Better AI Recommendations,Desktop,6,6,2023,55+,Medium (5-15 hrs)
49,France,47,2019-04-25,Premium Individual,Active,0,0,No,No,4,11.82,Rock,Radio,Concert Alerts,Tablet,7,7,2019,45-54,Medium (5-15 hrs)
50,Italy,29,2018-08-30,Free,Active,1,0,No,No,2,14.51,Hip-Hop,AI DJ,Lyrics Translation,Mobile,8,6,2018,25-34,Medium (5-15 hrs)
51,India,24,2021-03-23,Premium Duo,Active,1,0,No,No,4,1.83,Electronic,Lyrics,Social Listening,Smart Speaker,8,11,2021,18-24,Low (<5 hrs)
52,Spain,41,2020-10-11,Free,Active,0,0,No,No,5,6.35,Indie,Offline Mode,Better AI Recommendations,Tablet,11,9,2020,35-44,Medium (5-15 hrs)
53,Canada,47,2022-05-21,Student,Active,1,0,No,No,3,9.26,R&B,Offline Mode,HiFi Audio,Tablet,9,6,2022,45-54,Medium (5-15 hrs)
54,Canada,41,2018-11-27,Free,Active,0,0,Yes,Yes,1,13.71,Country,Radio,Mood-based Auto Playlists,Smart Speaker,5,13,2018,35-44,Medium (5-15 hrs)
55,UK,33,2024-02-29,Premium Individual,Active,0,0,No,No,5,12.88,Hip-Hop,Discover Weekly,Social Listening,Desktop,6,8,2024,25-34,Medium (5-15 hrs)
56,Spain,43,2019-07-15,Premium Individual,Active,0,0,No,No,5,16.34,Rock,AI DJ,Concert Alerts,Smart Speaker,12,9,2019,35-44,High (>15 hrs)
57,USA,42,2024-03-03,Free,Active,1,0,Yes,No,5,13.08,K-Pop,Radio,HiFi Audio,Tablet,5,12,2024,35-44,Medium (5-15 hrs)
58,Australia,59,2022-01-09,Premium Individual,Inactive,4,1,No,No,5,17.53,R&B,Daily Mix,Better AI Recommendations,Tablet,12,9,2022,55+,High (>15 hrs)
59,India,30,2022-04-08,Free,Active,3,1,No,No,4,6.3,Indie,Discover Weekly,Lyrics Translation,Car System,12,10,2022,25-34,Medium (5-15 hrs)
60,Brazil,25,2019-09-11,Premium Individual,Active,3,1,Yes,Yes,1,13.55,K-Pop,Radio,Lyrics Translation,Smart Speaker,7,15,2019,25-34,Medium (5-15 hrs)
61,UK,58,2020-08-08,Free,Active,1,0,No,No,2,13.83,Rock,Lyrics,HiFi Audio,Mobile,6,13,2020,55+,Medium (5-15 hrs)
62,Germany,16,2020-08-13,Free,Active,0,0,No,No,4,4.3,Latin,Radio,HiFi Audio,Mobile,7,17,2020,<18,Low (<5 hrs)
63,Spain,27,2023-06-10,Premium Individual,Active,0,0,Yes,No,5,7.08,Rock,Discover Weekly,Better AI Recommendations,Car System,4,8,2023,25-34,Medium (5-15 hrs)
64,Australia,34,2020-12-12,Premium Duo,Active,1,0,No,No,4,9.55,R&B,Playlists,HiFi Audio,Tablet,9,13,2020,25-34,Medium (5-15 hrs)
65,Italy,25,2018-01-17,Free,Active,0,0,No,No,5,10.08,Indie,Discover Weekly,Mood-based Auto Playlists,Desktop,7,17,2018,25-34,Medium (5-15 hrs)
66,Spain,50,2022-09-13,Free,Active,0,0,No,No,3,9.32,R&B,Daily Mix,Better AI Recommendations,Smart Speaker,9,18,2022,45-54,Medium (5-15 hrs)
67,India,55,2022-02-21,Premium Individual,Active,1,0,No,No,4,10.57,Electronic,Podcasts,Better AI Recommendations,Smart Speaker,5,9,2022,55+,Medium (5-15 hrs)
68,India,24,2024-05-08,Premium Individual,Active,0,0,Yes,No,3,16.48,R&B,Playlists,Mood-based Auto Playlists,Desktop,8,5,2024,18-24,High (>15 hrs)
69,Indonesia,48,2025-09-29,Free,Active,1,0,No,No,4,6.86,Pop,Podcasts,Concert Alerts,Tablet,11,7,2025,45-54,Medium (5-15 hrs)
70,Spain,19,2024-12-04,Premium Duo,Active,1,0,Yes,No,3,10.28,Jazz,Radio,Lyrics Translation,Tablet,9,12,2024,18-24,Medium (5-15 hrs)
71,USA,59,2023-02-14,Free,Active,1,0,Yes,No,5,14.61,Electronic,AI DJ,Social Listening,Car System,7,12,2023,55+,Medium (5-15 hrs)
72,Indonesia,41,2024-04-09,Free,Active,2,0,No,No,5,14.86,Country,Lyrics,Concert Alerts,Car System,8,10,2024,35-44,Medium (5-15 hrs)
73,Canada,41,2022-06-19,Free,Active,0,0,No,No,3,14.6,K-Pop,Radio,Lyrics Translation,Smart Speaker,13,8,2022,35-44,Medium (5-15 hrs)
74,Canada,22,2022-06-03,Premium Individual,Inactive,3,1,No,No,2,12.64,Bollywood,Offline Mode,Better AI Recommendations,Smart Speaker,4,8,2022,18-24,Medium (5-15 hrs)
75,USA,56,2023-05-27,Free,Active,0,0,No,No,4,2.75,Indie,Radio,HiFi Audio,Desktop,17,7,2023,55+,Low (<5 hrs)
76,USA,19,2022-06-29,Free,Active,1,0,No,No,2,8.78,Bollywood,Lyrics,HiFi Audio,Mobile,4,2,2022,18-24,Medium (5-15 hrs)
77,Mexico,20,2020-02-20,Premium Individual,Active,2,0,No,No,5,10.24,Country,Lyrics,Concert Alerts,Tablet,5,10,2020,18-24,Medium (5-15 hrs)
78,Spain,44,2020-05-05,Free,Active,1,0,No,No,3,5.65,Pop,AI DJ,Concert Alerts,Car System,5,11,2020,35-44,Medium (5-15 hrs)
79,India,54,2019-10-27,Student,Active,0,0,Yes,Yes,5,7.64,Country,Daily Mix,Social Listening,Mobile,11,9,2019,45-54,Medium (5-15 hrs)
80,Germany,52,2018-08-04,Free,Inactive,6,1,Yes,Yes,3,13.45,Hip-Hop,Lyrics,Concert Alerts,Desktop,12,7,2018,45-54,Medium (5-15 hrs)
81,USA,50,2019-09-12,Premium Individual,Active,2,0,No,No,1,13.39,Country,Playlists,Mood-based Auto Playlists,Tablet,5,5,2019,45-54,Medium (5-15 hrs)
82,UK,39,2019-02-20,Free,Active,0,0,No,No,3,3.91,Latin,Discover Weekly,Mood-based Auto Playlists,Car System,10,6,2019,35-44,Low (<5 hrs)
83,UK,29,2024-11-18,Free,Active,2,0,Yes,Yes,3,11.45,K-Pop,Offline Mode,Better AI Recommendations,Mobile,6,7,2024,25-34,Medium (5-15 hrs)
84,Italy,40,2024-11-20,Free,Active,0,0,No,No,3,11.04,Electronic,Daily Mix,Social Listening,Mobile,4,14,2024,35-44,Medium (5-15 hrs)
85,Indonesia,56,2019-09-01,Free,Active,1,0,No,No,3,13.03,Latin,Daily Mix,Concert Alerts,Tablet,4,8,2019,55+,Medium (5-15 hrs)
86,Indonesia,54,2020-10-30,Free,Active,0,0,Yes,No,5,13.42,Country,Playlists,Better AI Recommendations,Smart Speaker,6,11,2020,45-54,Medium (5-15 hrs)
87,India,23,2022-01-31,Premium Individual,Inactive,6,1,Yes,No,5,12.9,Latin,Playlists,Lyrics Translation,Tablet,13,10,2022,18-24,Medium (5-15 hrs)
88,Canada,45,2023-06-23,Free,Active,1,0,Yes,No,4,9.85,Jazz,AI DJ,HiFi Audio,Tablet,10,12,2023,45-54,Medium (5-15 hrs)
89,Germany,46,2023-05-22,Premium Family,Active,1,0,No,No,3,0,Indie,Radio,Mood-based Auto Playlists,Car System,12,11,2023,45-54,Low (<5 hrs)
90,Spain,21,2021-07-01,Premium Individual,Active,1,0,No,No,4,3.86,R&B,Playlists,Mood-based Auto Playlists,Mobile,9,4,2021,18-24,Low (<5 hrs)
91,Australia,22,2019-08-14,Free,Inactive,4,1,No,No,5,3.08,Bollywood,Radio,Mood-based Auto Playlists,Tablet,11,7,2019,18-24,Low (<5 hrs)
92,UK,32,2021-11-04,Premium Individual,Active,4,1,No,No,5,11.29,Jazz,Podcasts,Concert Alerts,Smart Speaker,7,8,2021,25-34,Medium (5-15 hrs)
93,Mexico,26,2023-05-15,Free,Active,2,0,Yes,No,3,9.46,Latin,Radio,HiFi Audio,Mobile,14,10,2023,25-34,Medium (5-15 hrs)
94,France,17,2023-10-16,Free,Active,1,0,No,No,5,10.25,Pop,AI DJ,Social Listening,Car System,7,19,2023,<18,Medium (5-15 hrs)
95,Indonesia,49,2020-04-20,Premium Individual,Active,0,0,No,No,5,7.75,K-Pop,Offline Mode,Social Listening,Car System,6,5,2020,45-54,Medium (5-15 hrs)
96,USA,25,2022-01-21,Free,Active,1,0,No,No,5,15.23,Rock,Lyrics,Better AI Recommendations,Car System,8,11,2022,25-34,High (>15 hrs)
97,Canada,50,2025-09-27,Free,Active,2,0,No,No,4,11.64,Jazz,Lyrics,Mood-based Auto Playlists,Smart Speaker,10,10,2025,45-54,Medium (5-15 hrs)
98,Germany,35,2018-04-21,Free,Active,0,0,Yes,No,2,7.32,Jazz,AI DJ,Better AI Recommendations,Car System,5,9,2018,35-44,Medium (5-15 hrs)
99,Canada,60,2025-03-18,Premium Individual,Active,0,0,Yes,No,5,11.56,Indie,Radio,Social Listening,Car System,5,14,2025,55+,Medium (5-15 hrs)
100,France,26,2020-12-05,Free,Active,0,0,Yes,No,4,11.35,Bollywood,Radio,HiFi Audio,Tablet,5,11,2020,25-34,Medium (5-15 hrs)
101,Germany,30,2021-12-27,Premium Individual,Active,0,0,No,No,1,8.91,Electronic,Podcasts,Mood-based Auto Playlists,Mobile,9,7,2021,25-34,Medium (5-15 hrs)
102,Australia,50,2023-12-22,Premium Individual,Active,2,0,No,No,3,8.99,Pop,Lyrics,HiFi Audio,Tablet,9,14,2023,45-54,Medium (5-15 hrs)
103,Indonesia,37,2023-08-22,Student,Active,1,0,No,No,4,13.02,Classical,Discover Weekly,Better AI Recommendations,Tablet,11,16,2023,35-44,Medium (5-15 hrs)
104,Australia,28,2025-02-19,Free,Inactive,3,1,Yes,Yes,4,5.22,Jazz,Podcasts,Social Listening,Tablet,10,14,2025,25-34,Medium (5-15 hrs)
105,UK,30,2020-09-07,Premium Individual,Active,6,1,Yes,No,3,10.85,Bollywood,Podcasts,Better AI Recommendations,Smart Speaker,5,6,2020,25-34,Medium (5-15 hrs)
106,Mexico,49,2020-03-29,Free,Active,0,0,No,No,5,15.13,Latin,Discover Weekly,Social Listening,Smart Speaker,7,10,2020,45-54,High (>15 hrs)
107,France,38,2023-07-12,Free,Active,1,0,No,No,4,6.17,R&B,Lyrics,Mood-based Auto Playlists,Mobile,11,16,2023,35-44,Medium (5-15 hrs)
108,Spain,17,2018-04-29,Premium Duo,Active,4,1,No,No,3,8.72,Indie,Daily Mix,Better AI Recommendations,Tablet,5,7,2018,<18,Medium (5-15 hrs)
109,India,46,2021-02-18,Premium Individual,Active,0,0,No,No,4,12.31,Country,Playlists,Concert Alerts,Tablet,6,11,2021,45-54,Medium (5-15 hrs)
110,Germany,28,2020-11-27,Premium Individual,Active,1,0,No,No,3,10.13,K-Pop,Lyrics,Mood-based Auto Playlists,Car System,10,14,2020,25-34,Medium (5-15 hrs)
111,Indonesia,54,2025-10-07,Premium Family,Active,2,0,No,No,5,6.89,Rock,Lyrics,HiFi Audio,Smart Speaker,8,12,2025,45-54,Medium (5-15 hrs)
112,UK,38,2021-11-11,Premium Individual,Active,0,0,Yes,No,1,4.38,Indie,Radio,HiFi Audio,Smart Speaker,8,17,2021,35-44,Low (<5 hrs)
113,Spain,21,2022-02-02,Premium Duo,Active,0,0,No,No,4,9.47,Classical,Daily Mix,Lyrics Translation,Tablet,10,13,2022,18-24,Medium (5-15 hrs)
114,Spain,46,2020-06-22,Premium Individual,Active,2,0,Yes,Yes,2,6.16,Hip-Hop,Playlists,Social Listening,Smart Speaker,4,16,2020,45-54,Medium (5-15 hrs)
115,Germany,37,2020-03-16,Premium Individual,Active,2,0,No,No,5,5.57,Latin,Playlists,Lyrics Translation,Desktop,12,9,2020,35-44,Medium (5-15 hrs)
116,Indonesia,46,2020-04-17,Premium Family,Inactive,6,1,No,No,4,5.22,Bollywood,Discover Weekly,Lyrics Translation,Mobile,12,7,2020,45-54,Medium (5-15 hrs)
117,Canada,55,2024-12-31,Premium Individual,Active,0,0,Yes,No,2,2.72,K-Pop,Lyrics,Mood-based Auto Playlists,Tablet,8,13,2024,55+,Low (<5 hrs)
118,Italy,57,2018-01-08,Free,Active,1,0,Yes,No,3,11.83,Electronic,Playlists,Concert Alerts,Smart Speaker,6,9,2018,55+,Medium (5-15 hrs)
119,Spain,21,2021-11-10,Free,Active,2,0,Yes,No,4,5.59,Jazz,Offline Mode,Concert Alerts,Tablet,10,9,2021,18-24,Medium (5-15 hrs)
120,Italy,23,2025-05-29,Free,Active,3,1,No,No,4,9.36,Classical,Radio,Better AI Recommendations,Tablet,10,14,2025,18-24,Medium (5-15 hrs)
121,Mexico,28,2022-05-11,Free,Active,0,0,No,No,5,8.36,Country,Podcasts,Social Listening,Smart Speaker,4,9,2022,25-34,Medium (5-15 hrs)
122,Germany,27,2023-05-13,Premium Individual,Active,1,0,No,No,3,4.56,Bollywood,Radio,Lyrics Translation,Mobile,8,8,2023,25-34,Low (<5 hrs)
123,France,56,2022-11-13,Free,Active,0,0,No,No,2,9.23,Latin,Radio,Lyrics Translation,Car System,6,16,2022,55+,Medium (5-15 hrs)
124,Italy,21,2021-09-23,Free,Active,2,0,No,No,3,15.59,K-Pop,Offline Mode,Concert Alerts,Smart Speaker,6,11,2021,18-24,High (>15 hrs)
125,France,41,2026-02-04,Premium Individual,Active,2,0,Yes,No,4,4.87,R&B,Radio,Lyrics Translation,Car System,13,7,2026,35-44,Low (<5 hrs)
126,USA,26,2018-12-14,Premium Duo,Active,1,0,Yes,No,4,13.69,R&B,Lyrics,Lyrics Translation,Tablet,7,5,2018,25-34,Medium (5-15 hrs)
127,USA,17,2019-06-05,Student,Active,1,0,No,No,3,10.71,Hip-Hop,Daily Mix,Lyrics Translation,Tablet,4,10,2019,<18,Medium (5-15 hrs)
128,Canada,53,2019-09-12,Free,Active,0,0,No,No,3,6.05,Bollywood,Podcasts,HiFi Audio,Car System,8,12,2019,45-54,Medium (5-15 hrs)
129,Germany,57,2023-03-22,Free,Active,0,0,No,No,5,12.18,R&B,Discover Weekly,HiFi Audio,Mobile,9,10,2023,55+,Medium (5-15 hrs)
130,Italy,54,2019-08-22,Free,Active,0,0,Yes,No,1,13.8,K-Pop,Offline Mode,Concert Alerts,Car System,17,3,2019,45-54,Medium (5-15 hrs)
131,Spain,38,2023-04-27,Premium Individual,Active,1,0,Yes,No,4,10.57,K-Pop,Daily Mix,Social Listening,Tablet,8,5,2023,35-44,Medium (5-15 hrs)
132,USA,51,2019-10-01,Premium Individual,Active,2,0,No,No,4,17.55,R&B,Discover Weekly,Social Listening,Smart Speaker,10,10,2019,45-54,High (>15 hrs)
133,Brazil,16,2024-02-24,Premium Family,Active,2,0,Yes,Yes,3,13.21,Indie,Radio,Mood-based Auto Playlists,Desktop,13,5,2024,<18,Medium (5-15 hrs)
134,India,57,2026-02-23,Premium Duo,Active,1,0,No,No,3,8.38,K-Pop,Offline Mode,HiFi Audio,Smart Speaker,8,8,2026,55+,Medium (5-15 hrs)
135,India,49,2019-02-25,Premium Individual,Active,1,0,No,No,2,16.47,Country,Podcasts,Lyrics Translation,Car System,5,10,2019,45-54,High (>15 hrs)
136,UK,43,2019-07-25,Premium Individual,Active,0,0,No,No,5,12.74,Bollywood,Radio,Concert Alerts,Desktop,8,12,2019,35-44,Medium (5-15 hrs)
137,Brazil,29,2020-03-08,Free,Active,1,0,No,No,3,14.28,Indie,AI DJ,Lyrics Translation,Car System,10,6,2020,25-34,Medium (5-15 hrs)
138,Germany,32,2018-04-25,Premium Individual,Active,2,0,No,No,5,10.25,Pop,Playlists,Mood-based Auto Playlists,Car System,14,8,2018,25-34,Medium (5-15 hrs)
139,Germany,31,2020-05-21,Student,Active,1,0,Yes,No,2,12.43,Latin,Daily Mix,Social Listening,Mobile,6,8,2020,25-34,Medium (5-15 hrs)
140,USA,50,2024-07-30,Premium Individual,Active,2,0,Yes,No,4,7.39,K-Pop,AI DJ,HiFi Audio,Mobile,6,12,2024,45-54,Medium (5-15 hrs)
141,Canada,24,2022-09-13,Student,Active,1,0,No,No,4,4.39,Latin,Daily Mix,Better AI Recommendations,Tablet,6,9,2022,18-24,Low (<5 hrs)
142,Brazil,38,2018-09-07,Student,Active,0,0,Yes,No,4,11.37,Pop,Offline Mode,Lyrics Translation,Smart Speaker,14,9,2018,35-44,Medium (5-15 hrs)
143,UK,49,2023-02-20,Free,Active,2,0,Yes,No,4,9.26,Electronic,Lyrics,Better AI Recommendations,Smart Speaker,7,3,2023,45-54,Medium (5-15 hrs)
144,Australia,48,2022-09-19,Free,Active,2,0,No,No,4,10.12,Classical,Radio,Concert Alerts,Car System,8,5,2022,45-54,Medium (5-15 hrs)
145,Brazil,50,2019-06-20,Premium Individual,Active,1,0,No,No,5,10.04,Classical,Discover Weekly,Social Listening,Smart Speaker,11,10,2019,45-54,Medium (5-15 hrs)
146,India,49,2019-09-14,Free,Inactive,3,1,No,No,3,5.15,Country,Daily Mix,HiFi Audio,Mobile,8,7,2019,45-54,Medium (5-15 hrs)
147,France,17,2023-09-23,Premium Individual,Active,0,0,No,No,4,8.49,Rock,Playlists,HiFi Audio,Smart Speaker,7,11,2023,<18,Medium (5-15 hrs)
148,Brazil,27,2022-12-08,Premium Duo,Active,2,0,No,No,3,11.14,Electronic,AI DJ,HiFi Audio,Desktop,6,7,2022,25-34,Medium (5-15 hrs)
149,France,16,2024-10-28,Free,Active,1,0,No,No,2,6.96,Pop,Offline Mode,Social Listening,Car System,10,8,2024,<18,Medium (5-15 hrs)
150,Mexico,27,2019-09-06,Premium Individual,Active,2,0,No,No,4,8.07,R&B,Offline Mode,HiFi Audio,Smart Speaker,11,16,2019,25-34,Medium (5-15 hrs)
151,India,46,2019-08-03,Premium Family,Active,0,0,No,No,4,14.44,K-Pop,AI DJ,Better AI Recommendations,Smart Speaker,12,9,2019,45-54,Medium (5-15 hrs)
152,USA,51,2024-12-10,Free,Inactive,3,1,Yes,No,5,6.06,Pop,AI DJ,Lyrics Translation,Tablet,6,13,2024,45-54,Medium (5-15 hrs)
153,Italy,36,2018-09-10,Free,Active,0,0,No,No,5,9.23,K-Pop,Playlists,Lyrics Translation,Tablet,12,13,2018,35-44,Medium (5-15 hrs)
154,Australia,51,2025-08-26,Premium Individual,Active,5,1,Yes,No,5,11.79,Jazz,Offline Mode,Mood-based Auto Playlists,Mobile,9,7,2025,45-54,Medium (5-15 hrs)
155,Germany,22,2023-05-31,Free,Inactive,3,1,Yes,No,1,5.53,Bollywood,Podcasts,Social Listening,Car System,8,12,2023,18-24,Medium (5-15 hrs)
156,Germany,19,2024-04-13,Student,Inactive,3,1,No,No,4,4.97,Latin,AI DJ,HiFi Audio,Mobile,16,11,2024,18-24,Low (<5 hrs)
157,Italy,28,2020-10-14,Premium Individual,Active,2,0,No,No,4,5.18,Indie,Discover Weekly,Better AI Recommendations,Mobile,11,9,2020,25-34,Medium (5-15 hrs)
158,Spain,18,2021-02-08,Premium Individual,Inactive,4,1,No,No,5,6.41,K-Pop,Radio,Concert Alerts,Desktop,7,13,2021,18-24,Medium (5-15 hrs)
159,France,48,2019-02-05,Free,Active,0,0,No,No,4,8.15,Electronic,AI DJ,Better AI Recommendations,Mobile,5,11,2019,45-54,Medium (5-15 hrs)
